MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family,Genus,Species,RecordID
1.0,0.307612390882721,0.27684845209846504,0.458429779917766,0.10039474291024301,-0.0369464538341346,-0.11033335389755301,0.0993412810855308,0.237189455178833,-0.109538360731395,-0.272954048543031,0.229801574271812,0.235060336670186,-0.24908819755151998,-0.12077062172197099,0.21738216833067997,0.13971745409744,-0.0735641434533967,-0.120244825778774,-0.0302261296925964,0.159052794850115,0.11275597193577802,Leptodactylidae,Adenomera,AdenomeraHylaedactylus,14
1.0,0.4271986275657921,0.26124325723714803,0.5170130015372151,0.22632606069379502,0.0521077363063977,-0.0692833071106369,0.0182068574990902,0.21016579879964803,0.0551924738695465,-0.211268438605524,0.0737958172461543,0.285763309179143,-0.120833685212467,-0.27584407812082695,0.0422030221080271,0.21946276555513602,0.0752464155356241,-0.10571398318765199,-0.165878706794511,-0.0220569533482901,0.21034257416843602,Leptodactylidae,Adenomera,AdenomeraHylaedactylus,22
1.0,0.44250044901728397,0.7108849795523331,0.544235447958208,-0.232933487582582,-0.0126430379186113,0.43950560181645504,0.0609532567594101,-0.28035937761514196,0.235294313736341,0.266354075561079,-0.18521042415974498,-0.0846317127054873,0.22765096116166397,-0.00835311750904375,-0.15733128407420702,0.12065697989644,0.14022732244205402,-0.0769486477119818,-0.0782517878540191,0.0289939650788026,-0.00616890814540768,Leptodactylidae,Adenomera,AdenomeraAndre,8
1.0,0.294931046833466,0.0345273418469782,0.167603106736841,0.222337509302939,0.216650093569308,0.0879081210665661,-0.0982189338891916,-0.171656271816049,0.0150343374462636,0.12289303338648301,0.0201094249684437,-0.047465775850155996,-0.0220844784810407,-0.0579274410068238,-0.0859002239507407,0.0263148921888039,0.0889587762065676,-0.0290078927605874,-0.106901484885084,-0.0363805376529042,0.0225736448645351,Dendrobatidae,Ameerega,Ameeregatrivittata,9
1.0,0.22526821815106302,0.0513422786796136,0.444802203156466,0.244129798784946,-0.00311483476728269,-0.178950733250238,0.0741227420229109,0.264499076600357,0.0528802195466965,-0.17889336419478602,0.147543394170021,0.31602616177849296,-0.10701921632987801,-0.26353812883689,0.0322507256759668,0.15464472735224402,-0.0520817238677144,-0.172986923587242,-0.14675636396369598,0.108678690384956,0.24052357216193,Leptodactylidae,Adenomera,AdenomeraHylaedactylus,18
1.0,0.13869652443748598,0.190971226081529,0.569785672442652,0.262763245441825,0.0931621101306924,-0.14141930567925698,-0.0405654169823147,0.212367093328829,0.0402891303636986,-0.147008907742022,0.19635840377432603,0.18600201173622602,-0.28909548798423,-0.17967498329086398,0.28471217641949503,0.24813796690286102,-0.10574159290483902,-0.19187183831567298,-0.09585545204908699,0.18165385876719697,0.216069691229157,Leptodactylidae,Adenomera,AdenomeraHylaedactylus,24
1.0,0.21764852184193997,0.0455358693668904,0.31181413943853803,0.311288772051635,0.13938633571649303,-0.10862526794931099,-0.145954215138532,0.0753180394299274,0.295501275984425,0.0813038270291543,-0.306176336045872,-0.161296168585659,0.23456791316557501,0.199143247705475,-0.0328792469956823,-0.13570628984659,-0.14402670401808898,0.0049216983273169205,0.19874986393504396,0.12167203851849699,-0.10490244062095198,Leptodactylidae,Adenomera,AdenomeraAndre,4
0.74308684399698,0.8700210912169829,1.0,0.531535241882525,0.0868367161942071,0.265435547732575,-0.0222244526385548,0.0946719948569428,0.099009781241751,-0.22869055318677897,0.0526601832013965,0.30655386557514397,-0.263821208947316,-0.0329650475299239,0.32203637709516303,-0.18088587257041297,-0.11508604615123101,0.11930369814200599,0.0137043676343782,0.0330939630759093,0.10246363268093199,-0.0330596655217511,Hylidae,Hypsiboas,HypsiboasCinerascens,37
1.0,0.9522326856134151,0.992333471945067,0.234056761523536,-0.26488359169988396,0.33681757334187606,-0.0353450814259709,-0.20124985218507802,0.12702147245988799,-0.0642923759471047,-0.351262963479465,-0.0274584092002983,0.158194776644771,0.0761103245003778,0.0516920929095738,0.166858162151176,0.0598243321357625,0.0900349860644265,0.11766010396757001,0.0624418256630747,0.0269927430591014,-0.0436056014643166,Hylidae,Hypsiboas,HypsiboasCordobae,41
1.0,0.17196164264486902,-0.100769756527384,-0.0205138988736937,-0.0615236116810827,0.21900972819576398,0.58604959190302,0.317236085329476,-0.31935248303407104,-0.3426634728932039,-0.0327045443145927,0.0496060486987482,0.136613752390746,0.27539581016257203,0.12502085678758398,-0.20269967486194196,-0.255300356427744,-0.0341928441546704,0.0508111263225915,0.0588979470388936,0.0967013962842435,0.0736714536822453,Dendrobatidae,Ameerega,Ameeregatrivittata,12
